Timestamp, Block Number, Base Fee (Gwei)
2023-12-04T04:19:47.000Z, 18710576, 33.495097115
2023-12-04T04:19:59.000Z, 18710577, 34.59830224
2023-12-04T04:20:11.000Z, 18710578, 34.37737853
2023-12-04T04:20:23.000Z, 18710579, 33.372854055
2023-12-04T04:20:35.000Z, 18710580, 32.659505963
2023-12-04T04:20:47.000Z, 18710581, 33.614985937
2023-12-04T04:20:59.000Z, 18710582, 32.886568801
2023-12-04T04:21:11.000Z, 18710583, 32.604732551
2023-12-04T04:21:23.000Z, 18710584, 33.754181694
2023-12-04T04:21:35.000Z, 18710585, 33.715933987
2023-12-04T04:21:47.000Z, 18710586, 34.680257744
2023-12-04T04:21:59.000Z, 18710587, 33.898097418
2023-12-04T04:22:11.000Z, 18710588, 33.905270255
2023-12-04T04:22:23.000Z, 18710589, 34.352647188
2023-12-04T04:22:35.000Z, 18710590, 35.898959174
2023-12-04T04:22:47.000Z, 18710591, 36.228489182
2023-12-04T04:22:59.000Z, 18710592, 37.159421572
2023-12-04T04:23:11.000Z, 18710593, 36.453941903
2023-12-04T04:23:23.000Z, 18710594, 34.562270305
2023-12-04T04:23:35.000Z, 18710595, 35.489188055
2023-12-04T04:23:47.000Z, 18710596, 32.925829436
2023-12-04T04:23:59.000Z, 18710597, 33.000646249
2023-12-04T04:24:11.000Z, 18710598, 31.783257634
2023-12-04T04:24:23.000Z, 18710599, 33.363937564
2023-12-04T04:24:35.000Z, 18710600, 34.262434241
2023-12-04T04:24:47.000Z, 18710601, 34.205474658
2023-12-04T04:24:59.000Z, 18710602, 32.719139322
2023-12-04T04:25:11.000Z, 18710603, 30.30913777
2023-12-04T04:25:23.000Z, 18710604, 30.733793542
2023-12-04T04:25:35.000Z, 18710605, 31.72085952
2023-12-04T04:25:47.000Z, 18710606, 30.576062159
2023-12-04T04:25:59.000Z, 18710607, 30.478648354
2023-12-04T04:26:11.000Z, 18710608, 29.972275837
2023-12-04T04:26:23.000Z, 18710609, 33.657439833
2023-12-04T04:26:47.000Z, 18710610, 32.60779611
2023-12-04T04:26:59.000Z, 18710611, 35.117926863
2023-12-04T04:27:11.000Z, 18710612, 34.156676921
2023-12-04T04:27:23.000Z, 18710613, 34.519442747
2023-12-04T04:27:35.000Z, 18710614, 33.539111573
2023-12-04T04:27:47.000Z, 18710615, 32.660298531
2023-12-04T04:27:59.000Z, 18710616, 31.984708553
2023-12-04T04:28:11.000Z, 18710617, 34.610108052
2023-12-04T04:28:23.000Z, 18710618, 34.974885612
2023-12-04T04:28:35.000Z, 18710619, 33.626564717
2023-12-04T04:28:47.000Z, 18710620, 33.021035754
2023-12-04T04:28:59.000Z, 18710621, 31.825312955
2023-12-04T04:29:11.000Z, 18710622, 32.008596788
2023-12-04T04:29:23.000Z, 18710623, 35.813297844
2023-12-04T04:29:35.000Z, 18710624, 34.649893911
2023-12-04T04:29:47.000Z, 18710625, 32.861156374
2023-12-04T04:29:59.000Z, 18710626, 32.352873152
2023-12-04T04:30:11.000Z, 18710627, 31.155040107
2023-12-04T04:30:23.000Z, 18710628, 32.841645723
2023-12-04T04:30:35.000Z, 18710629, 31.652535394
2023-12-04T04:30:47.000Z, 18710630, 31.291560121
2023-12-04T04:30:59.000Z, 18710631, 33.757703516
2023-12-04T04:31:11.000Z, 18710632, 32.480167983
2023-12-04T04:31:23.000Z, 18710633, 33.28441673
2023-12-04T04:31:35.000Z, 18710634, 33.975689408
2023-12-04T04:31:47.000Z, 18710635, 32.396801748
2023-12-04T04:31:59.000Z, 18710636, 32.255528475
2023-12-04T04:32:11.000Z, 18710637, 31.460730213
2023-12-04T04:32:23.000Z, 18710638, 31.403889064
2023-12-04T04:32:35.000Z, 18710639, 31.907987693
2023-12-04T04:32:47.000Z, 18710640, 32.310629803
2023-12-04T04:32:59.000Z, 18710641, 31.966005972
2023-12-04T04:33:11.000Z, 18710642, 32.926615351
2023-12-04T04:33:23.000Z, 18710643, 29.533381391
2023-12-04T04:33:35.000Z, 18710644, 33.219215561
2023-12-04T04:33:47.000Z, 18710645, 29.970659862
2023-12-04T04:33:59.000Z, 18710646, 33.7132033
2023-12-04T04:34:11.000Z, 18710647, 34.195177368
2023-12-04T04:34:23.000Z, 18710648, 34.085221636
2023-12-04T04:34:35.000Z, 18710649, 33.595387745
2023-12-04T04:34:47.000Z, 18710650, 33.15001705
2023-12-04T04:34:59.000Z, 18710651, 33.623909251
2023-12-04T04:35:11.000Z, 18710652, 34.583294929
2023-12-04T04:35:23.000Z, 18710653, 35.332582937
2023-12-04T04:35:35.000Z, 18710654, 31.787746745
2023-12-04T04:35:47.000Z, 18710655, 35.754766413
2023-12-04T04:35:59.000Z, 18710656, 36.569507295
2023-12-04T04:36:11.000Z, 18710657, 36.498848912
2023-12-04T04:36:23.000Z, 18710658, 35.270552542
2023-12-04T04:36:35.000Z, 18710659, 36.176189816
2023-12-04T04:36:47.000Z, 18710660, 35.220203854
2023-12-04T04:36:59.000Z, 18710661, 36.84783895
2023-12-04T04:37:11.000Z, 18710662, 36.740407234
2023-12-04T04:37:23.000Z, 18710663, 33.33894941
2023-12-04T04:37:35.000Z, 18710664, 37.49820283
2023-12-04T04:37:47.000Z, 18710665, 39.797537005
2023-12-04T04:37:59.000Z, 18710666, 39.13581175
2023-12-04T04:38:11.000Z, 18710667, 39.011498149
2023-12-04T04:38:23.000Z, 18710668, 38.979868927
2023-12-04T04:38:35.000Z, 18710669, 38.911961773
2023-12-04T04:38:47.000Z, 18710670, 37.061338704
2023-12-04T04:38:59.000Z, 18710671, 35.802121968
2023-12-04T04:39:11.000Z, 18710672, 36.444559719
2023-12-04T04:39:23.000Z, 18710673, 35.763367469
2023-12-04T04:39:35.000Z, 18710674, 38.290781933
2023-12-04T04:39:47.000Z, 18710675, 39.376687129
2023-12-04T04:39:59.000Z, 18710676, 38.956462078
2023-12-04T04:40:11.000Z, 18710677, 38.73173426
2023-12-04T04:40:23.000Z, 18710678, 38.309467337
2023-12-04T04:40:35.000Z, 18710679, 37.321347735
2023-12-04T04:40:47.000Z, 18710680, 38.032382855
2023-12-04T04:40:59.000Z, 18710681, 37.613876099
2023-12-04T04:41:11.000Z, 18710682, 37.206738489
2023-12-04T04:41:23.000Z, 18710683, 39.072204982
2023-12-04T04:41:35.000Z, 18710684, 42.116041757
2023-12-04T04:41:47.000Z, 18710685, 41.851739379
2023-12-04T04:41:59.000Z, 18710686, 41.738381851
2023-12-04T04:42:11.000Z, 18710687, 40.506813679
2023-12-04T04:42:23.000Z, 18710688, 40.496718369
2023-12-04T04:42:35.000Z, 18710689, 38.139706431
2023-12-04T04:42:47.000Z, 18710690, 37.242945313
2023-12-04T04:42:59.000Z, 18710691, 37.003633941
2023-12-04T04:43:11.000Z, 18710692, 37.501076258
2023-12-04T04:43:23.000Z, 18710693, 37.395297285
2023-12-04T04:43:35.000Z, 18710694, 37.550793163
2023-12-04T04:43:47.000Z, 18710695, 33.647631043
2023-12-04T04:43:59.000Z, 18710696, 37.850402698
2023-12-04T04:44:11.000Z, 18710697, 42.556773498
2023-12-04T04:44:23.000Z, 18710698, 41.182336535
2023-12-04T04:44:35.000Z, 18710699, 39.799241834
2023-12-04T04:44:47.000Z, 18710700, 38.319113006
2023-12-04T04:44:59.000Z, 18710701, 38.085343106
2023-12-04T04:45:11.000Z, 18710702, 39.135639751
2023-12-04T04:45:23.000Z, 18710703, 40.151530188
2023-12-04T04:45:35.000Z, 18710704, 38.835208111
2023-12-04T04:45:47.000Z, 18710705, 37.583033817
2023-12-04T04:45:59.000Z, 18710706, 39.485230171
2023-12-04T04:46:11.000Z, 18710707, 40.471388272
2023-12-04T04:46:23.000Z, 18710708, 41.112574452
2023-12-04T04:46:35.000Z, 18710709, 40.544365441
2023-12-04T04:46:47.000Z, 18710710, 39.386489993
2023-12-04T04:46:59.000Z, 18710711, 38.140146202
2023-12-04T04:47:11.000Z, 18710712, 39.166282362
2023-12-04T04:47:23.000Z, 18710713, 38.842048211
2023-12-04T04:47:35.000Z, 18710714, 38.019796685
2023-12-04T04:47:47.000Z, 18710715, 37.942266399
2023-12-04T04:47:59.000Z, 18710716, 37.820925767
2023-12-04T04:48:11.000Z, 18710717, 38.324353176
2023-12-04T04:48:23.000Z, 18710718, 37.685791846
2023-12-04T04:48:35.000Z, 18710719, 38.555116386
2023-12-04T04:48:47.000Z, 18710720, 38.876072307
2023-12-04T04:48:59.000Z, 18710721, 38.312510509
2023-12-04T04:49:11.000Z, 18710722, 37.668647379
